"variant","sampleCount","managedEntryMs-median","managedEntryMs-p25","managedEntryMs-p75","appOnStartupMs-median","appOnStartupMs-p25","appOnStartupMs-p75","controllerCreatedMs-median","controllerCreatedMs-p25","controllerCreatedMs-p75","startAsyncEndMs-median","startAsyncEndMs-p25","startAsyncEndMs-p75","commandReadyMs-median","commandReadyMs-p25","commandReadyMs-p75","dwmFlushCompleteMs-median","dwmFlushCompleteMs-p25","dwmFlushCompleteMs-p75","workingSet-median","workingSet-p25","workingSet-p75","exeBytes"
"sdk-compressed","12","104.033","99.68995000000001","110.64892499999999","222.98585","215.54915","234.674625","352.0547","342.049575","378.75244999999995","920.1532","886.789175","937.9609","924.287","890.3112","942.9193","939.1432","902.013","957.902875","117088256","116982784","117243904","17059332"
"sdk-uncompressed","12","105.51445","104.127125","113.48865","224.0424","219.9474","236.334325","356.30895","344.34015","379.59574999999995","923.2175","899.3452749999999","949.184025","928.01185","903.799625","952.9891250000001","952.7893","926.5332500000001","975.9667000000001","117012480","116945920","117169152","34590267"
