variant,count,samples,managedMs,startupMs,renderingMs,readyMs,cacheReadyMs,shellReadyMs,controllerMs,stateLoadMs,stateSerializeMs,trayReadyMs,normalizeMs,normalizeGlobalMs,normalizePapersMs,trayMs,buildShellMs,buildTopBarMs,buildBodyMs,buildNoteMs,markdownConstructMs,exitMs,workingSetBytes,privateBytes,cacheWrites,shellCount
baseline,1,5,81.8865,214.8983,751.5073,802.9627,1241.6971,1392.3566,128.8551,87.4949,18.3972,526.2118,16.0574,10.7085,2.3506,164.1562,114.3228,29.2282,75.5679,70.2523,55.766,89.1546,114237440.0,39424000.0,1.0,1.0
traylate,1,5,82.1437,216.2861,708.1507,749.7124,1231.7232,1405.9266,127.9198,86.5118,18.4587,1203.8271,16.386,10.952300000000001,2.3693999999999997,85.0444,113.2322,28.4691,75.4964,70.0791,55.4814,88.8304,114089984.0,39727104.0,1.0,1.0
baseline,10,5,81.5689,212.5954,874.8133,914.6426,1373.1483,1598.8233,129.3309,87.5966,17.453,530.1051,16.141099999999998,10.6784,2.4057999999999997,166.8654,202.38509999999997,46.5881,100.2141,93.6707,62.2062,123.3073,151015424.0,68915200.0,10.0,10.0
traylate,10,5,81.3213,216.5786,824.0407,864.1343,1436.4047,1662.2728,131.4019,88.7015,18.1544,1332.8047,16.5618,10.955,2.4429,87.3292,200.6712,46.4043,99.67170000000002,93.1471,62.036,125.4059,151146496.0,69013504.0,10.0,10.0
